Date,NewCase,CumCases,NewDeaths,Deaths
25/01/2020,0,0,0,0
26/01/2020,0,0,0,0
27/01/2020,0,0,0,0
28/01/2020,0,0,0,0
29/01/2020,0,0,0,0
30/01/2020,5.1819729,5.1819729,0,0
31/01/2020,10.3639458,15.545918699999998,0,0
01/02/2020,10.3639458,25.909864499999994,0,0
02/02/2020,10.3639458,36.273810299999994,0,0
03/02/2020,5.619201317775754,41.893011617775755,0,0
04/02/2020,6.121197359683951,48.01420897745971,0,0
05/02/2020,13.116848015583358,61.13105699304307,0,0
06/02/2020,20.11249075258136,81.24354774562443,0,0
07/02/2020,26.670893515741607,107.91444126136604,0,0
08/02/2020,29.020966772452887,136.93540803381893,0,0
09/02/2020,29.239546438942785,166.1749544727617,0,0
10/02/2020,32.86848160985507,199.04343608261678,0,0
11/02/2020,41.21942964001962,240.2628657226364,0,0
12/02/2020,53.44070833220694,293.70357405484333,0,0
13/02/2020,70.30682075292887,364.01039480777223,0,0
14/02/2020,84.81015991185899,448.8205547196312,0.11204056750224,0.11204056750224
15/02/2020,98.23613644775864,547.0566911673899,0.11204056750224,0.22408113500448
16/02/2020,113.59789164536058,660.6545828127506,0.11204056750224,0.33612170250671997
17/02/2020,135.0850577444636,795.7396405572142,0.11204056750224,0.44816227000896
18/02/2020,166.69905635064214,962.4386969078564,0.028360232571021358,0.47652250257998136
19/02/2020,206.90871209288937,1169.3474090007458,0.10398750258748239,0.5805100051674638
20/02/2020,252.88888084999888,1422.236289850745,0.17961471088642578,0.7601247160538894
21/02/2020,303.7867353337797,1726.0230251845246,0.2552418096866119,1.0153665257405016
22/02/2020,362.1729283929108,2088.1959535774354,0.3056990965267565,1.3210656222672579
23/02/2020,433.22870765970015,2521.4246612371353,0.3156248363873832,1.636690458654641
24/02/2020,523.6431842833031,3045.0678455204384,0.3293318101065925,1.9660222687612334
25/02/2020,636.865156102857,3681.9330016232952,0.394086768016813,2.360109036778047
26/02/2020,774.5811591467386,4456.514160770034,0.5068334861766592,2.866942522954706
27/02/2020,937.4555751035464,5393.969735873581,0.6665291564328739,3.5334716793875796
28/02/2020,1129.233930119103,6523.203665992683,0.8420639552076732,4.375535634595253
29/02/2020,1358.965343330457,7882.169009323141,0.9887233017193551,5.3642589363146085
01/03/2020,1638.984671802714,9521.153681125856,1.1408294736503006,6.505088409964909
02/03/2020,1982.1340369359832,11503.287718061838,1.3312043307516568,7.836292740716566
03/03/2020,2399.8812544979546,13903.168972559793,1.617807458746583,9.454100199463149
04/03/2020,2903.369482130308,16806.5384546901,2.010094515446018,11.464194714909166
05/03/2020,3507.0755261189847,20313.613980809085,2.478789329565636,13.942984044474802
06/03/2020,4232.3045088888975,24545.918489697982,3.001160327143535,16.944144371618336
07/03/2020,5107.7884210837865,29653.706910781766,3.587479976615958,20.531624348234292
08/03/2020,6168.826460627626,35822.533371409394,4.276950326797772,24.808574675032062
09/03/2020,7454.830237329064,43277.36360873846,5.1429288258323345,29.951503500864398
